Date,Open,High,Low,Close,Volume
2020-12-24,219.62,219.88,216.05,217.15,6398510
2020-12-28,218.19,219.2,215.1627,216.09,9090579
2020-12-29,218.3,221.68,215.4,216.25,14593765
2020-12-30,216.36,218.554,214.365,216.67,10812617
2020-12-31,216.24,216.9,212.7,214.06,10487567
2021-01-04,210,210.2,202.4911,202.72,21225594
2021-01-05,204.74,213.35,204.6,211.63,19338304
2021-01-06,210.22,215.61,209.34,211.03,16202157
2021-01-07,213.39,216.6,211.78,212.71,14474098
2021-01-08,213.61,214.1,208.155,209.9,14144017
2021-01-11,203.03,207.7799,201.01,206.79,16789281
2021-01-12,206.65,209.06,204.81,208.41,12836218
2021-01-13,207.15,208.79,204.85,207.21,8570469
2021-01-14,208.79,214.19,208.21,209.91,12446820
2021-01-15,208.96,209.25,204.2,204.32,11103341
2021-01-19,206.99,211.52,206.52,210.71,11947219
2021-01-20,213.24,215.59,211.21,211.45,9727036
2021-01-21,211.72,211.93,206.34,207.41,11119827
2021-01-22,205.55,206.6999,204.27,205.84,7514630
2021-01-25,203.265,203.8,199.3,203.36,14276235
2021-01-26,205.34,208.35,201.79,202.06,11011763
2021-01-27,196.9,199.47,191.8504,194.03,20948458
2021-01-28,198.045,200.42,196,197.23,10403214
2021-01-29,198.3,201.57,193.1201,194.19,13683736
2021-02-01,196,197.38,192.86,195.84,9061904
2021-02-02,198.98,203.03,198.09,200.94,11130617
2021-02-03,202,208.16,201.2606,207.39,11836856
2021-02-04,209.87,212.48,208.02,210.64,11869930
2021-02-05,212.25,213.1988,206.66,207.93,9546076
2021-02-08,209.55,211.99,208.3,211.95,11182088
2021-02-09,210.6,216.73,208.9027,215.12,13615661
2021-02-10,215.65,217.49,211.12,211.92,11510719
2021-02-11,212.235,213.99,208.5709,210.66,7140235
2021-02-12,210.36,213.16,209.67,210.98,6010791
2021-02-16,213.08,217.4,212.3301,217.18,10171133
2021-02-17,215.52,218.71,212.68,215.52,9295592
2021-02-18,213.45,214.34,208.08,208.48,9121302
2021-02-19,209.97,217.64,209.15,217.47,12415284
2021-02-22,211.89,220.39,210.8,212.88,21413745
2021-02-23,214.15,214.75,206.6,212.12,15996695
2021-02-24,212.1,229.61,211.6,229.34,30709277
2021-02-25,227.8,228.5,214.71,216.45,19283014
