Date,Open,High,Low,Close,Volume
2010-05-05,30.1205,30.6599,30.1205,30.2489,5706427.0586925
2010-05-06,30.3558,30.555,28.6947,29.7406,9590654.186328
2010-05-07,29.7609,30.0486,29.0748,29.8708,11683640.975596
2010-05-10,30.4092,30.59,30.101,30.5006,6622605.6732576
2010-05-11,30.3907,30.8961,30.2109,30.5365,6562762.8075215
2010-05-12,30.519,30.7698,30.3373,30.6463,5971070.3566528
2010-05-13,30.6463,30.7882,30.3373,30.4286,4660910.6043462
2010-05-14,30.4811,30.5365,30.1731,30.2818,5354928.1616472
2010-05-17,30.3217,30.59,29.9777,30.555,5035490.8088955
2010-05-18,30.6599,30.9331,30.5365,30.5734,9314156.9346497
2010-05-19,30.0671,30.1584,29.617,29.7609,6197406.6889961
2010-05-20,29.4343,29.6355,28.8192,28.8192,8344244.0320087
2010-05-21,28.4245,28.893,28.4245,28.8784,7440581.9825837
2010-05-24,28.8784,29.3109,28.7141,28.8192,5806430.9673479
2010-05-25,28.4779,28.6034,27.9191,28.5509,5876391.0040681
2010-05-26,28.7675,28.7871,28.2613,28.3526,5298356.1681331
2010-05-27,28.6947,28.858,28.4585,28.8386,4125261.2925335
2010-05-28,28.9309,29.1117,28.7141,28.8065,4952307.3529249
2010-06-01,28.6034,28.8192,28.2992,28.3351,3777769.9599124
2010-06-02,28.4983,28.8065,28.3526,28.8065,4508597.4337323
2010-06-03,28.9309,29.0748,28.7491,28.9659,2390268.844267
2010-06-04,28.5898,28.6607,28.1184,28.1708,5509375.2702881
2010-06-07,28.2613,28.5898,28.1184,28.2807,4443382.6825384
2010-06-08,28.2613,29.0572,28.098,29.0572,8048676.1239496
2010-06-09,29.1117,29.1272,28.6403,28.7491,4590288.9851035
2010-06-10,29.0913,29.3109,28.9659,29.3109,4633474.9932108
2010-06-11,29.3109,29.3109,28.8386,29.1826,3409283.9284272
2010-06-14,29.344,29.4343,29.1642,29.2536,4311379.9924726
2010-06-15,29.3634,29.617,29.2701,29.617,3765265.741569
2010-06-16,29.7239,29.8872,29.4898,29.8134,3732351.2394044
2010-06-17,29.8708,30.1731,29.69,30.1584,3310834.6872544
2010-06-18,30.1205,30.2109,29.8134,30.0321,4088377.2952344
2010-06-21,30.2313,30.2313,29.7969,29.9407,3512591.6340956
2010-06-22,29.9049,29.9601,29.3819,29.4509,3736244.5959593
2010-06-23,29.4898,29.5986,29.1486,29.2701,3104491.9343442
2010-06-24,29.1117,29.5782,29.0748,29.1486,7116872.6381787
2010-06-25,29.1992,29.344,28.9659,29.1826,3490819.0870402
2010-06-28,29.3109,29.617,29.0913,29.4898,2581347.8697747
2010-06-29,29.2925,29.3819,28.9659,29.1486,5006684.7033281
2010-06-30,29.1331,29.4081,28.7871,28.8794,4526088.7290371
2010-07-01,28.9115,29.0038,28.6403,28.8192,6197580.5730494
2010-07-02,28.8386,29.1642,28.8065,28.9843,3802603.4836462
2010-07-06,29.1272,29.4178,29.0387,29.2701,9550779.1775319
2010-07-07,29.3109,30.2489,29.2536,30.2313,4496557.2491644
2010-07-08,30.2489,30.4092,29.9213,30.1731,4146623.3085991
2010-07-09,30.139,30.3373,30.0321,30.3023,1999651.1797226
2010-07-12,30.1925,30.5006,30.139,30.4811,2501312.8469589
2010-07-13,30.5734,30.6463,30.2643,30.3907,3887837.5367663
2010-07-14,30.3217,30.6288,30.2313,30.6085,3802780.4543987
2010-07-15,30.6085,30.8787,30.4286,30.8262,3250754.1456822
2010-07-16,30.8076,30.8787,30.3558,30.449,3668978.218716
2010-07-19,30.6288,31.0964,30.5006,30.9875,3230287.2723763
2010-07-20,30.7533,31.0253,30.555,30.9331,3568667.697943
2010-07-21,30.968,31.0049,30.3023,30.5006,4628446.7602606
2010-07-22,30.7347,31.0049,30.6288,30.862,5399884.9061791
2010-07-23,31.0253,31.0253,30.4092,30.5734,10949777.218691
2010-07-26,30.555,30.862,30.4811,30.862,5556893.9751324
2010-07-27,30.9331,31.3306,30.7698,31.3306,5813818.4673648
2010-07-28,31.2927,31.35,31.043,31.2382,3704036.947905
2010-07-29,31.4199,31.4559,30.968,30.9875,4290251.5366442
2010-07-30,30.9875,31.0964,30.6793,30.862,4314661.1536918
2010-08-02,31.2052,31.5463,31.1148,31.35,4736537.8207451
2010-08-03,31.5842,31.5842,31.2761,31.35,4545349.7318668
2010-08-04,31.5298,31.5298,31.1312,31.35,3545770.5634892
2010-08-05,31.2586,31.4404,31.1312,31.4199,3265538.4058135
2010-08-06,31.35,31.4929,31.1312,31.4404,3638431.214816
2010-08-09,31.6552,31.7796,31.4734,31.6911,3280767.1506256
2010-08-10,31.5647,32.1227,31.4404,31.9283,5675715.4308365
2010-08-11,31.2382,31.2761,30.8787,30.8787,4701598.4439241
2010-08-12,30.6463,31.043,30.6085,30.862,4295779.8148602
2010-08-13,30.8262,31.043,30.6793,30.6998,5913353.1977461
2010-08-16,30.6288,30.7533,30.2489,30.7347,3680158.2431148
2010-08-17,30.8787,31.35,30.8262,31.1148,4358021.0458524
2010-08-18,31.0594,31.2761,30.8787,31.1489,14167952.283519
2010-08-19,31.0594,31.0594,30.4286,30.7533,4103460.9651854
2010-08-20,30.6599,30.8787,30.519,30.7882,3700859.7055579
